,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Day,Month,Year
0,ART_AND_DESIGN,4.1,159,19000.0,10000,Free,0.0,Everyone,Art & Design,7,1,2018
1,ART_AND_DESIGN,3.9,967,14000.0,500000,Free,0.0,Everyone,Art & Design;Pretend Play,15,1,2018
2,ART_AND_DESIGN,4.7,87510,8.7,5000000,Free,0.0,Everyone,Art & Design,1,8,2018
3,ART_AND_DESIGN,4.5,215644,25000.0,50000000,Free,0.0,Teen,Art & Design,8,6,2018
4,ART_AND_DESIGN,4.3,967,2.8,100000,Free,0.0,Everyone,Art & Design;Creativity,20,6,2018
5,ART_AND_DESIGN,4.4,167,5.6,50000,Free,0.0,Everyone,Art & Design,26,3,2017
6,ART_AND_DESIGN,3.8,178,19000.0,50000,Free,0.0,Everyone,Art & Design,26,4,2018
7,ART_AND_DESIGN,4.1,36815,29000.0,1000000,Free,0.0,Everyone,Art & Design,14,6,2018
8,ART_AND_DESIGN,4.4,13791,33000.0,1000000,Free,0.0,Everyone,Art & Design,20,9,2017
9,ART_AND_DESIGN,4.7,121,3.1,10000,Free,0.0,Everyone,Art & Design;Creativity,3,7,2018
10,ART_AND_DESIGN,4.4,13880,28000.0,1000000,Free,0.0,Everyone,Art & Design,27,10,2017
11,ART_AND_DESIGN,4.4,8788,12000.0,1000000,Free,0.0,Everyone,Art & Design,31,7,2018
12,ART_AND_DESIGN,4.2,44829,20000.0,10000000,Free,0.0,Teen,Art & Design,2,4,2018
13,ART_AND_DESIGN,4.6,4326,21000.0,100000,Free,0.0,Everyone,Art & Design,26,6,2018
14,ART_AND_DESIGN,4.4,1518,37000.0,100000,Free,0.0,Everyone,Art & Design,3,8,2018
15,ART_AND_DESIGN,3.2,55,2.7,5000,Free,0.0,Everyone,Art & Design,6,6,2018
16,ART_AND_DESIGN,4.7,3632,5.5,500000,Free,0.0,Everyone,Art & Design,31,7,2018
17,ART_AND_DESIGN,4.5,27,17000.0,10000,Free,0.0,Everyone,Art & Design,7,11,2017
18,ART_AND_DESIGN,4.3,194216,39000.0,5000000,Free,0.0,Everyone,Art & Design,3,8,2018
19,ART_AND_DESIGN,4.6,224399,31000.0,10000000,Free,0.0,Everyone,Art & Design,30,7,2018
20,ART_AND_DESIGN,4.0,450,14000.0,100000,Free,0.0,Everyone,Art & Design,20,4,2018
21,ART_AND_DESIGN,4.1,654,12000.0,100000,Free,0.0,Everyone,Art & Design,20,3,2018
22,ART_AND_DESIGN,4.7,7699,4.2,500000,Free,0.0,Everyone 10+,Art & Design,12,7,2018
23,ART_AND_DESIGN,,61,7.0,100000,Free,0.0,Everyone,Art & Design;Action & Adventure,7,3,2018
24,ART_AND_DESIGN,4.7,118,23000.0,50000,Free,0.0,Everyone,Art & Design,7,7,2018
25,ART_AND_DESIGN,4.8,192,6.0,10000,Free,0.0,Everyone,Art & Design,25,4,2018
26,ART_AND_DESIGN,4.7,20260,25000.0,500000,Free,0.0,Everyone,Art & Design;Creativity,11,10,2017
27,ART_AND_DESIGN,4.1,203,6.1,100000,Free,0.0,Everyone,Art & Design,21,3,2018
28,ART_AND_DESIGN,3.9,136,4.6,10000,Free,0.0,Everyone,Art & Design,12,7,2018
29,ART_AND_DESIGN,4.1,223,4.2,100000,Free,0.0,Everyone,Art & Design,22,8,2017
30,ART_AND_DESIGN,4.2,1120,9.2,100000,Free,0.0,Everyone,Art & Design,12,7,2018
31,ART_AND_DESIGN,4.1,227,5.2,50000,Free,0.0,Everyone,Art & Design,31,5,2018
32,ART_AND_DESIGN,4.5,5035,11000.0,100000,Free,0.0,Everyone,Art & Design,19,7,2018
33,ART_AND_DESIGN,4.2,1015,11000.0,100000,Free,0.0,Everyone,Art & Design,6,1,2018
34,ART_AND_DESIGN,4.7,353,4.2,10000,Free,0.0,Teen,Art & Design,27,4,2018
35,ART_AND_DESIGN,3.8,564,9.2,100000,Free,0.0,Everyone,Art & Design,11,7,2018
